label,area,notes,well,plate_name
A1-Sym-Snap-45.czi,11.993,"On side, estimated",A1,20260319_Lacerate_25C_Plate2
A2-Sym-Snap-46.czi,20.895,"On side, estimated",A2,20260319_Lacerate_25C_Plate2
A3-Sym-Snap-47.czi,18.496,,A3,20260319_Lacerate_25C_Plate2
A4-Sym-Snap-48.czi,45.689,,A4,20260319_Lacerate_25C_Plate2
A5-Sym-Snap-49.czi,10.138,"On side, estimated",A5,20260319_Lacerate_25C_Plate2
A6-Sym-Snap-50.czi,148.41,,A6,20260319_Lacerate_25C_Plate2
B3-Sym-Snap-51.czi,17.168,"On side, estimated",B3,20260319_Lacerate_25C_Plate2
B4-Sym-Snap-52.czi,26.277,,B4,20260319_Lacerate_25C_Plate2
B5-Sym-Snap-53.czi,12.194,"On side, estimated",B5,20260319_Lacerate_25C_Plate2
C1-Apo-Snap-54.czi,6.761,,C1,20260319_Lacerate_25C_Plate2
C2-Apo-Snap-55.czi,11.759,"On side, estimated",C2,20260319_Lacerate_25C_Plate2
C3-Apo-Snap-56.czi,20.066,,C3,20260319_Lacerate_25C_Plate2
C4-Apo-Snap-57.czi,12.405,"On side, estimated",C4,20260319_Lacerate_25C_Plate2
C5-Apo-Snap-59.czi,10.507,,C5,20260319_Lacerate_25C_Plate2
C6-Apo-Snap-60.czi,18.08,,C6,20260319_Lacerate_25C_Plate2
D2-Apo-Snap-61.czi,13.741,,D2,20260319_Lacerate_25C_Plate2
D4-Apo-Snap-63.czi,6.41,"On side, estimated",D4,20260319_Lacerate_25C_Plate2
D5-Apo-Snap-64.czi,12.09,"On side, estimated",D5,20260319_Lacerate_25C_Plate2
D6-Apo-Snap-66.czi,6.799,,D6,20260319_Lacerate_25C_Plate2
A2-sym.czi,39.069,,A2,20260317_Lacerate_32C_Plate1
A3-sym.czi,22.796,,A3,20260317_Lacerate_32C_Plate1
A4-sym.czi,21.866,,A4,20260317_Lacerate_32C_Plate1
A5-sym.czi,27.828,,A5,20260317_Lacerate_32C_Plate1
B1-Sym-Snap-29.czi,18.168,,B1,20260317_Lacerate_32C_Plate1
B2-Sym-Snap-30.czi,19.17,,B2,20260317_Lacerate_32C_Plate1
B3-Sym-Snap-31.czi,27.169,,B3,20260317_Lacerate_32C_Plate1
B4-Sym-Snap-32.czi,17.576,,B4,20260317_Lacerate_32C_Plate1
B5-Sym-Snap-33.czi,28.22,,B5,20260317_Lacerate_32C_Plate1
B6-Sym-Snap-34.czi,24.267,,B6,20260317_Lacerate_32C_Plate1
C1-Apo-Snap-35.czi,10.634,,C1,20260317_Lacerate_32C_Plate1
C2-Apo-Snap-36.czi,14.184,,C2,20260317_Lacerate_32C_Plate1
C3-Apo-Snap-37.czi,7.309,,C3,20260317_Lacerate_32C_Plate1
C4-Apo-Snap-38.czi,10.873,,C4,20260317_Lacerate_32C_Plate1
C5-Apo-Snap-39.czi,10.323,,C5,20260317_Lacerate_32C_Plate1
C6-Apo-Snap-40.czi,10.475,,C6,20260317_Lacerate_32C_Plate1
D2-Apo-Snap-41.czi,6.971,,D2,20260317_Lacerate_32C_Plate1
D3-Apo-Snap-42.czi,21.835,,D3,20260317_Lacerate_32C_Plate1
D4-Apo-Snap-43.czi,17.823,,D4,20260317_Lacerate_32C_Plate1
D5-Apo-Snap-44.czi,11.909,,D5,20260317_Lacerate_32C_Plate1
A1-Sym-Snap-67.czi,25.749,,A1,20260324_Lacerate_32C_Plate3
A2-Sym-Snap-68.czi,26.544,,A2,20260324_Lacerate_32C_Plate3
A3-Sym-Snap-69.czi,6.877,,A3,20260324_Lacerate_32C_Plate3
A4-Sym-Snap-70.czi,18.024,,A4,20260324_Lacerate_32C_Plate3
A5-Sym-Snap-71.czi,36.264,,A5,20260324_Lacerate_32C_Plate3
A6-Sym-Snap-72.czi,32.033,,A6,20260324_Lacerate_32C_Plate3
B1-Sym-Snap-73.czi,35.041,,B1,20260324_Lacerate_32C_Plate3
B2-Sym-Snap-74.czi,32.468,,B2,20260324_Lacerate_32C_Plate3
B3-Sym-Snap-75.czi,33.173,,B3,20260324_Lacerate_32C_Plate3
B4-Sym-Snap-76.czi,44.988,,B4,20260324_Lacerate_32C_Plate3
B5-Sym-Snap-77.czi,54.776,,B5,20260324_Lacerate_32C_Plate3
B6-Sym-Snap-78.czi,44.519,,B6,20260324_Lacerate_32C_Plate3
C1-Apo-Snap-79.czi,39.643,,C1,20260324_Lacerate_32C_Plate3
C2-Apo-Side-Snap-80.czi,10.428,"On side, estimated",C2,20260324_Lacerate_32C_Plate3
C2-Apo-Snap-80.czi,20.128,,C2,20260324_Lacerate_32C_Plate3
C3-Apo-Snap-81.czi,28.142,,C3,20260324_Lacerate_32C_Plate3
C4-Apo-Snap-111.czi,6.95,,C4,20260324_Lacerate_32C_Plate3
C5-Apo-Snap-82.czi,16.216,,C5,20260324_Lacerate_32C_Plate3
C6-Apo-Snap-83.czi,20.229,,C6,20260324_Lacerate_32C_Plate3
D1-Apo-Snap-84.czi,7.992,,D1,20260324_Lacerate_32C_Plate3
D2-Apo-Snap-86.czi,2.05,,D2,20260324_Lacerate_32C_Plate3
D3-Apo-Snap-85.czi,9.59,Tissue ball,D3,20260324_Lacerate_32C_Plate3
D4-Apo-Snap-87.czi,24.334,,D4,20260324_Lacerate_32C_Plate3
D6-Apo-Snap-88.czi,5.006,,D6,20260324_Lacerate_32C_Plate3
A1-Sym-Snap-89.czi,10.422,,A1,20260326_Lacerate_25C_Plate4
A2-Sym-Snap-90.czi,19.934,,A2,20260326_Lacerate_25C_Plate4
A3-Sym-Snap-91.czi,13.319,,A3,20260326_Lacerate_25C_Plate4
A4-Sym-Snap-92.czi,20.763,,A4,20260326_Lacerate_25C_Plate4
A5-Sym-Snap-93.czi,24.622,,A5,20260326_Lacerate_25C_Plate4
A6-Sym-Snap-94.czi,10.826,,A6,20260326_Lacerate_25C_Plate4
B1-Sym-Snap-95.czi,16.251,,B1,20260326_Lacerate_25C_Plate4
B2-Sym-Snap-96.czi,19.828,,B2,20260326_Lacerate_25C_Plate4
B3-Sym-Snap-97.czi,17.372,,B3,20260326_Lacerate_25C_Plate4
B4-Sym-Snap-98.czi,12.519,"On side, estimated",B4,20260326_Lacerate_25C_Plate4
B5-Sym-Snap-99.czi,10.708,,B5,20260326_Lacerate_25C_Plate4
B6-Sym-Snap-100.czi,15.987,,B6,20260326_Lacerate_25C_Plate4
C1-Apo-Snap-101.czi,18.439,,C1,20260326_Lacerate_25C_Plate4
C2-Apo-Snap-102.czi,21.984,,C2,20260326_Lacerate_25C_Plate4
C3-Apo-Side-Snap-103.czi,10.475,"On side, estimated",C3,20260326_Lacerate_25C_Plate4
C4-Apo-Side-Snap-104.czi,9.79,"On side, estimated",C4,20260326_Lacerate_25C_Plate4
C5-Apo-Snap-105.czi,26.143,,C5,20260326_Lacerate_25C_Plate4
C6-Apo-Snap-106.czi,29.402,,C6,20260326_Lacerate_25C_Plate4
D1-Apo-Snap-107.czi,19.331,,D1,20260326_Lacerate_25C_Plate4
D3-Apo-Snap-108.czi,7.701,,D3,20260326_Lacerate_25C_Plate4
D5-Apo-Snap-109.czi,42.356,,D5,20260326_Lacerate_25C_Plate4
D6-Apo-Snap-110.czi,29.017,,D6,20260326_Lacerate_25C_Plate4
