plate_name,well,treatment,n_points,slope_o2_umol_l_per_s,slope_o2_umol_l_per_h,r2,start_time,end_time,oxygen_decline_rate_umol_l_h,blank_threshold,is_biological,poor_fit,unreliable,label,area,notes,auto_discard_nonblank_note,auto_discard_missing_area,discard_final,discard_reason,treatment_final,respiration_norm
20260319_Lacerate_25C_Plate2,A3,Sym,30,-4.830167865837857e-6,-0.017388604317016283,0.9977411646254815,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,0.017388604317016283,6.984340383466873e-4,TRUE,FALSE,FALSE,A3-Sym-Snap-47.czi,0.18495999999999999,,FALSE,FALSE,FALSE,NA,Sym,0.09401278285584064
20260319_Lacerate_25C_Plate2,A4,Sym,30,-1.0621908561887065e-5,-0.03823887082279343,0.9920889982671528,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,0.03823887082279343,6.984340383466873e-4,TRUE,FALSE,FALSE,A4-Sym-Snap-48.czi,0.45689,,FALSE,FALSE,FALSE,NA,Sym,0.08369382307074663
20260319_Lacerate_25C_Plate2,B1,Blank,30,-8.764417498495729e-8,-3.1551902994584626e-4,0.15415941880690973,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,3.1551902994584626e-4,6.984340383466873e-4,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,TRUE,TRUE,missing_area,Discard,NA
20260319_Lacerate_25C_Plate2,B4,Sym,30,-7.626613907831144e-6,-0.02745581006819212,0.9935811658875795,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,0.02745581006819212,6.984340383466873e-4,TRUE,FALSE,FALSE,B4-Sym-Snap-52.czi,0.26277,,FALSE,FALSE,FALSE,NA,Sym,0.10448609075690574
20260319_Lacerate_25C_Plate2,B6,Blank,30,-3.141368279029589e-9,-1.1308925804506521e-5,1.0124518072938131e-4,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,1.1308925804506521e-5,6.984340383466873e-4,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,TRUE,TRUE,missing_area,Discard,NA
20260319_Lacerate_25C_Plate2,C1,Apo,30,-9.125674850584663e-7,-0.0032852429462104787,0.9350967508503654,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,0.0032852429462104787,6.984340383466873e-4,TRUE,FALSE,FALSE,C1-Apo-Snap-54.czi,0.06761,,FALSE,FALSE,FALSE,NA,Apo,0.04859108040542048
20260319_Lacerate_25C_Plate2,C3,Apo,30,-1.67340688223975e-6,-0.006024264776063101,0.9752315136740805,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,0.006024264776063101,6.984340383466873e-4,TRUE,FALSE,FALSE,C3-Apo-Snap-56.czi,0.20065999999999998,,FALSE,FALSE,FALSE,NA,Apo,0.030022250453817907
20260319_Lacerate_25C_Plate2,C5,Apo,30,-2.1763399437125876e-6,-0.007834823797365316,0.988731548208373,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,0.007834823797365316,6.984340383466873e-4,TRUE,FALSE,FALSE,C5-Apo-Snap-59.czi,0.10507,,FALSE,FALSE,FALSE,NA,Apo,0.07456765772689936
20260319_Lacerate_25C_Plate2,C6,Apo,30,-1.2003168194176903e-6,-0.004321140549903685,0.959375742528457,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,0.004321140549903685,6.984340383466873e-4,TRUE,FALSE,FALSE,C6-Apo-Snap-60.czi,0.1808,,FALSE,FALSE,FALSE,NA,Apo,0.023900113660971712
20260319_Lacerate_25C_Plate2,D1,Blank,30,-9.58117325104364e-8,-3.4492223703757105e-4,0.08169164568819058,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,3.4492223703757105e-4,6.984340383466873e-4,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,TRUE,TRUE,missing_area,Discard,NA
20260319_Lacerate_25C_Plate2,D2,Apo,30,-5.59634758909354e-7,-0.0020146851320736745,0.830969067649123,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,0.0020146851320736745,6.984340383466873e-4,TRUE,TRUE,TRUE,D2-Apo-Snap-61.czi,0.13741,,FALSE,FALSE,FALSE,NA,Apo,0.014661852354804413
20260319_Lacerate_25C_Plate2,D3,Blank,30,-1.6335115050955742e-8,-5.880641418344067e-5,0.0030859641888162366,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,5.880641418344067e-5,6.984340383466873e-4,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,TRUE,TRUE,missing_area,Discard,NA
20260319_Lacerate_25C_Plate2,D6,Apo,30,-1.9479624698270366e-6,-0.007012664891377331,0.9750995084605044,2026-03-19T16:34:47Z,2026-03-19T18:59:47Z,0.007012664891377331,6.984340383466873e-4,TRUE,FALSE,FALSE,D6-Apo-Snap-66.czi,0.06799000000000001,,FALSE,FALSE,FALSE,NA,Apo,0.10314259290156391
