plate_name,manual_group,n
20260317_Lacerate_32C_Plate1,Discard,1
20260317_Lacerate_32C_Plate1,Blank,4
20260317_Lacerate_32C_Plate1,Apo,9
20260317_Lacerate_32C_Plate1,Sym,10
20260319_Lacerate_25C_Plate2,Discard,2
20260319_Lacerate_25C_Plate2,Blank,4
20260319_Lacerate_25C_Plate2,Apo,10
20260319_Lacerate_25C_Plate2,Sym,8
20260324_Lacerate_32C_Plate3,Discard,5
20260324_Lacerate_32C_Plate3,Blank,3
20260324_Lacerate_32C_Plate3,Apo,6
20260324_Lacerate_32C_Plate3,Sym,10
20260326_Lacerate_25C_Plate4,Discard,5
20260326_Lacerate_25C_Plate4,Blank,4
20260326_Lacerate_25C_Plate4,Apo,6
20260326_Lacerate_25C_Plate4,Sym,9
