"contrast","day_cat","ratio","SE","df","null","z.ratio","p.value"
"25C (ambient) / 32C (heat stress)","day_0",0.993183882981211,3035.40672149831,Inf,1,-2.23786627525617e-06,0.99999821444105
"25C (ambient) / 32C (heat stress)","day_10",0.796997648722242,0.053907906148218,Inf,1,-3.35463958892595,0.00079468447737448
"25C (ambient) / 32C (heat stress)","day_11",0.796998480021481,0.05390796237624,Inf,1,-3.3546241682045,0.000794728773559657
"25C (ambient) / 32C (heat stress)","day_12",0.83467876574925,0.0553321187653599,Inf,1,-2.72596490817527,0.00641138143417038
"25C (ambient) / 32C (heat stress)","day_13",0.893243412554179,0.0583649401444344,Inf,1,-1.72781378880823,0.0840216144627079
"25C (ambient) / 32C (heat stress)","day_14",0.894920832273418,0.05841412708031,Inf,1,-1.70085788874358,0.0889696758599273
"25C (ambient) / 32C (heat stress)","day_17",0.936788999217143,0.0636407680268979,Inf,1,-0.961171739857784,0.336465823216439
"25C (ambient) / 32C (heat stress)","day_20",0.933034545613201,0.0630345961175213,Inf,1,-1.02596790288655,0.304906713667523
"25C (ambient) / 32C (heat stress)","day_21",0.936750351531676,0.0631547469521544,Inf,1,-0.969140626576934,0.33247502990406
"25C (ambient) / 32C (heat stress)","day_4",6.72558836241777e-05,0.0995073124004979,Inf,1,-0.00649326833967665,0.994819157848886
"25C (ambient) / 32C (heat stress)","day_5",0.178817819617845,0.0316411246928947,Inf,1,-9.7283142983668,2.28345522081093e-22
"25C (ambient) / 32C (heat stress)","day_6",0.392566729510723,0.0363141625625722,Inf,1,-10.1081506978013,5.08347463441933e-24
"25C (ambient) / 32C (heat stress)","day_7",0.584193331886695,0.0415431225768831,Inf,1,-7.55883308661674,4.06701387654323e-14
"25C (ambient) / 32C (heat stress)","day_8",0.656729299834614,0.0473262618022052,Inf,1,-5.83489459470636,5.38245824637461e-09
"25C (ambient) / 32C (heat stress)","day_9",0.743721151835542,0.0515311776930037,Inf,1,-4.27329131670424,1.92608546595853e-05
